,Return on Assets,Return on Equity
3K-BAT,1.0980001,1.4520001
7UP,-2.379,9.174
A,2.493,4.58
A5,8.067001,21.728
AAV,-8.644,-58.974
ABICO,4.151,4.7509998
ABM,0.892,2.8199999
ACAP,-8.486,-60.28
ACC,-1.317,-7.897
ACE,5.817,10.736
ACG,2.4349999,3.862
ADB,5.1799998,13.430999
AEC,-28.873,-43.580002
AEONTS,4.027,19.115
AF,2.8369999,9.0679996
AFC,0.006,0.58899997
AGE,3.551,12.438
AH,1.4789999,3.19
AHC,2.678,4.2069998
AI,14.133,24.790001
AIE,11.45,22.779
AIMIRT,4.1939996,8.245
AIRA,0.16300001,0.34999999
AIT,5.6599997,15.253
AJ,3.877,12.853
AJA,-8.439,-18.672001
AKP,1.9299999,6.372
AKR,6.6300005,12.354
ALL,1.832,2.6970001
ALLA,3.033,5.037
ALLY,2.856,5.0380003
ALT,-1.6449999,2.9690001
ALUCON,6.594,9.861
AMA,4.027,8.076999
AMANAH,7.034,20.142001
AMARIN,3.528,6.9759995
AMATA,2.085,7.327
AMATAR,3.821,5.547
AMATAV,1.044,-2.471
AMC,7.216,19.514
ANAN,-0.773,3.6059998
AOT,-4.996,-10.1169996
AP,4.4,17.395
APCO,5.8969997,10.311
APCS,3.736,8.3629996
APP,5.6199998,13.51
APURE,10.264,16.57
AQ,-4.1500002,-12.684
AQUA,0.337,3.08
ARIN,-1.55,-9.154
ARIP,1.16799995,1.704
ARROW,7.429,11.241999
ASAP,1.332,-8.642
ASEFA,6.284,13.233
ASIA,0.003,-2.262
ASIAN,8.4750004,28.091
ASIMAR,3.667,7.696
ASK,2.123,16.600001
ASN,2.8450001,5.0970003
ASP,7.35,15.114
ATP30,3.466,6.96
AU,3.241,6.447
AWC,-1.0290001,-3.6259998
AYUD,1.174,3.525
B,-3.21,3.4879997
B52,-21.496001,-42.209
BA,-4.046,-27.326
BAFS,-2.015,-10.5979994
BAM,1.17,3.622
BANPU,0.377,-0.27
BAY,0.877,8.02
BBL,0.458,3.836
BC,-2.834,-34.916002
BCH,7.563,19.081
BCP,0.68300003,2.056
BCPG,3.158,9.554
BCT,2.8399998,5.0679997
BDMS,2.814,7.2340004
BEAUTY,-4.3130003,-10.9
BEC,2.411,2.563
BEM,1.937,4.935
BFIT,7.493,16.420001
BGC,2.952,9.99
BGRIM,3.458,11.4870004
BGT,-0.063,-4.395
BH,1.381,2.7139999
BIG,0.546,0.709
BIZ,5.348,16.826999
BJC,2.031,3.805
BJCHI,-2.1370001,-6.034
BKD,-2.2880001,-4.7280002
BKI,3.477,8.818
BKKCP,3.472,4.8070002
BLA,0.565,5.4390002
BLAND,-0.22200001,-1.085
BLISS,-27.206,-105.57901
BM,3.039,7.997
BOFFICE,4.0430002,7.8439996
BOL,13.733,29.431
BPP,0.782,8.8570006
BR,0.302,-2.4400001
BROCK,2.56,3.0840002
BROOK,4.487,21.771999
BRR,1.5620001,8.241
BSBM,3.588,4.755
BTNC,-1.9709999,-4.5289997
BTS,1.2519999,7.481
BTW,1.509,1.427
BUI,3.001,10.0839995
BWG,0.89,-0.88599995
CAZ,4.167,11.9090006
CCET,1.4140001,1.617
CCP,2.3459999,5.114
CEN,7.344,11.9449995
CENTEL,-3.387,-28.945
CFRESH,-0.952,-14.226
CGD,2.441,4.271
CGH,1.836,3.143
CHARAN,4.464,9.404001
CHAYO,7.332,12.985
CHEWA,0.28,-2.0750001
CHG,11.6780005,21.708
CHO,-2.227,-25.707
CHOTI,-8.972,-22.992
CHOW,-0.418,-16.98
CI,-1.439,-14.368
CIG,-5.3060003,-29.202998
CIMBT,0.12800001,1.34000005
CITY,-1.06,-1.528
CK,-0.39,3.5639998
CKP,1.0880001,2.437
CM,0.459,0.091
CMAN,-0.32600001,-5.1659998
CMC,1.242,3.838
CMO,-9.354,-25.206
CMR,1.577,3.8340002
CNT,0.908,3.4730002
COLOR,3.139,8.084
COMAN,-0.082,-0.33399998
COTTO,3.81,5.565
CPALL,3.274,11.82
CPF,4.3870002,16.921
CPH,0.569,-3.9389998
CPI,4.8070002,13.633001
CPL,1.126,5.658
CPN,3.06,11.3199994
CPNREIT,2.646,-0.10800001
CPR,3.8429998,5.945
CPT,0.37099998,0.29199999
CPTGF,4.0710002,4.614
CPW,5.118,9.693
CRANE,1.757,1.878
CRC,0.27700001,-0.147
CRD,-3.187,-9.666
CSC,3.6340002,6.172
CSR,0.927,1.915
CSS,2.185,4.3870002
CTARAF,5.511,5.881
CTW,3.788,6.4559996
CWT,3.566,8.483
D,0.871,0.442
DCON,2.614,3.966
DDD,-3.6259998,9.016
DELTA,8.676,23.544
DEMCO,-0.322,1.587
DHOUSE,1.421,2.4360001
DMT,5.441,9.275
DOD,11.575,11.7
DOHOME,4.836,15.369001
DREIT,3.337,4.844
DRT,12.441,25.664
DTAC,2.9000001,20.642
DTCI,2.911,4.879
DV8,-3.2679997,0.29
EA,5.4920003,18.525
EASON,3.48,-14.868
EASTW,3.175,7.314
ECF,2.4489999,2.893
ECL,1.6490001,6.087
EE,-1.8229999,3.2390002
EGCO,1.687,8.425
EKH,6.115,9.437
EMC,1.4529999,4.4260003
EPG,4.452,11.3000005
ERW,-4.531,-47.681
ERWPF,3,-6.6
ESSO,-9.748,-43.370998
ESTAR,3.45,4.843
ETC,5.731,12.616
ETE,2.3640001,6.3769996
EVER,3.148,5.764
F&D,1.1820001,2.8670002
FANCY,-2.893,-5.129
FE,2.406,6.231
FLOYD,2.7390001,4.563
FMT,2.554,5.6999996
FN,-1.711,-3.115
FNS,7.082,10.474
FORTH,6.831,27.635
FPI,3.474,1.169
FPT,1.761,9.549
FSS,3.049,7.727
FTE,5.337,8.517
FTREIT,3.7720002,4.235
FUTUREPF,2.479,1.423
FVC,-0.282,-3.745
GAHREIT,3.959,5.935
GBX,1.27799995,2.861
GCAP,-0.637,-3.147
GEL,-1.123,-3.184
GENCO,-0.625,-3.1059999
GFPT,3.162,7.604
GGC,1.911,4.206
GIFT,-1.16,-2.276
GJS,0.519,-0.067000004
GL,-8.0740005,-19.422
GLAND,1.847,4.2600002
GLOBAL,5.0869998,13.3
GLOCON,-2.7980002,-5.745
GOLDPF,0.63300002,-18.92
GPI,12.798001,26.1
GPSC,2.989,7.992
GRAMMY,-1.117,15.006
GRAND,-3.875,-28.635
GREEN,0.974,5.649
GSC,-3.64,-6.161
GSTEEL,1.0650001,1.604
GTB,0.949,2.2920001
GULF,2.533,15.134
GUNKUL,2.1710001,29.935
GVREIT,4.267,8.81
GYT,-1.4090001,-4.828
HANA,3.791,9.1639996
HARN,4.183,6.606
HEMP,-10.9689996,-40.855
HFT,8.270001,13.065
HMPRO,6.966,23.493
HPF,2.602,5.554
HPT,-3.569,-6.577
HREIT,3.54,10.4949996
HTC,7.9569995,18.372
HTECH,4.81,7.843
HUMAN,6.61,11.92
ICC,-0.245,0.243
ICHI,4.4120003,7.4829996
ICN,8.331,23.134
IFS,3.5669997,7.715
IHL,0.66299997,-0.19400001
IIG,7.847,16.498
III,1.001,15.155
ILINK,2.506,7.8660004
ILM,3.6259998,8.6990006
IMH,-2.848,-5.452
IMPACT,1.705,2.782
IND,1.145,4.442
INET,1.72,5.353
INGRS,-0.879,-7.614
INOX,1.166,2.2160001
INSET,8.9329995,16.638
INSURE,0.46900003,-1.802
INTUCH,-0.332,27.377
IP,8.066,13.418001
IRC,4.8660003,8.574
IRCP,-0.012,11.464
IRPC,3.289,10.9230004
IT,0.827,3.205
ITD,0.753,-2.8859999
ITEL,3.45,10.2469996
IVL,2.0399999,6.041
J,3.599,4.151
JAK,1.038,3.143
JAS,0.327,-18.907
JCK,-0.339,-6.1090004
JCKH,-5.096,-898.549
JCT,2.772,4.217
JKN,6.138,12.117
JMART,5.441,20.983
JMT,8.033,20.151
JSP,-4.561,-16.455
JTS,0,4.636
JUBILE,11.351,23.726
JUTHA,-4.326,-52.959
JWD,2.149,9.843001
K,-4.132,-27.471
KAMART,7.648,13.777
KASET,-4.4,-15.287
KBANK,1.052,7.976
KBS,-1.364,-14.038
KC,-5.367,-41.29
KCAR,3.0650001,9.713
KCE,4.053,9.8500006
KCM,-0.792,-1.607
KDH,-0.708,-2.372
KGI,8.257,28.374
KIAT,6.651,10.994001
KISS,12.276,21.972
KKC,-2.42,-68.351
KKP,1.353,11.4209995
KOOL,0.23100001,-0.758
KPNPF,2.163,1.26600005
KSL,0.821,3.783
KTB,0.56800004,5.3600002
KTC,6.505,23.221001
KTIS,2.2149999,5.5209998
KUMWEL,6.1750002,9.752
KUN,7.101,19.905001
KWC,8.137,12.085
KWG,-1.8170001,-16.195999
KWM,9.287,17.165
KYE,4.5679998,14.135
L&E,1.501,2.142
LALIN,8.049,19.251
LANNA,5.2020002,8.3000004
LDC,-0.404,-6.725
LEE,3.862,7.122
LH,3.193,14.407
LHFG,0.736,4.6269998
LHHOTEL,-0.056,-10.063
LHK,4.7659997,8.151
LHPF,1.112,0.311
LHSC,1.291,1.2410001
LIT,1.967,5.0819997
LOXLEY,-1.05,4.118
LPF,3.533,4.665
LPH,5.1,9.702
LPN,2.408,5.1570002
LRH,-2.21,-10.192
LST,6.84,11.8760005
LUXF,1.429,-23.073
M,2.38,4.531
M-CHAI,-1.012,-6.883
M-STOR,2.24,3.337
MACO,-3.354,-42.613998
MAJOR,-4.0939998,-6.0170002
MAKRO,7.634,27.876
MALEE,-3.288,-26.662
MANRIN,-6.888,-17.246
MATCH,-6.92,-11.941
MATI,1.942,3.407
MAX,-0.88599995,-3.736
